Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARE,,,,,,1.64,1.64,2.462,2.236,2.331,4.294
AUS,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.345,5.143,6.394
BGD,3.379,,,4.426,,4.388,4.35,4.372,,,
BRA,,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.33,11.936,13.697
CAN,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657
CHN,4.1,4.1,4.1,4.05,4.1,4,,3.9,4.93,5.15,5.61
CIV,,,7.223,4.255,,1.896,1.896,3.273,,2.401,
COL,11.153,10.288,9.959,9.246,8.799,8.572,8.922,9.086,9.36,10.28,15.983
DEU,7.043,5.967,5.372,5.316,4.98,4.612,4.104,3.781,3.384,3.163,3.881
EGY,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974
ESP,19.86,21.391,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.105,15.532
FRA,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.41,9.018,8.415,8.01
GBR,7.973,8.195,8.279,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.518
HKG,4.329,3.422,3.285,3.4,3.296,3.314,3.392,3.124,2.805,2.917,5.808
IDN,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255
IND,3.115,,3.222,,,7.652,,,7.652,6.51,7.859
IRN,13.679,12.491,12.275,10.595,10.68,11.166,12.618,12.232,12.195,10.74,9.687
ITA,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.952,9.164
JOR,12.5,12.9,12.2,12.6,11.9,13.075,15.275,18.12,18.257,16.801,19.213
JPN,5.103,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809
MEX,5.303,5.175,4.892,4.921,4.819,4.311,3.853,3.419,3.275,3.477,4.441
MMR,,,,,,0.766,,1.356,0.767,0.407,1.476
MYS,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54
NGA,,3.77,,3.711,4.562,4.311,7.06,8.389,,10.695,
PAK,0.653,0.796,3.667,2.954,1.827,3.566,2.286,,4.083,4.83,
PHL,3.605,3.592,3.504,3.497,3.6,3.068,2.695,2.552,2.338,2.237,2.522
QAT,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14
ROU,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035
RUS,7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62
SAU,5.55,,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.66
SDN,,17.44,,,,13.5,,,,,
SSD,,,,,,12.425,,,,,
SYR,8.61,,,,,15,,,,,
TUR,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148
UGA,1.401,0.882,3.551,1.91,1.566,2.497,,3.428,,2.563,
UKR,8.1,7.851,7.529,7.17,9.27,9.14,9.35,9.5,8.799,8.194,9.475
USA,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055
VEN,7.112,6.902,6.601,,,6.601,5.319,5.045,,,7.53
VNM,1.114,0.999,1.027,1.316,1.256,1.849,1.848,1.874,1.161,1.681,2.103
ZAF,24.683,24.639,24.727,24.561,24.89,25.149,26.537,27.035,26.906,28.468,29.217
