orig,dest,da_pb_closed
PHL,PHL,0
IND,PHL,9876.29
SYR,PHL,0
POL,PHL,0.36
GBR,PHL,15409.79
DEU,PHL,162.6
MEX,PHL,69.66
CAN,PHL,59301.84
USA,PHL,201498.26
AUS,PHL,25960.67
PHL,IND,1437.17
IND,IND,0
SYR,IND,0.39
POL,IND,102.38
GBR,IND,72912.96
DEU,IND,6684.5
MEX,IND,148.84
CAN,IND,57478.78
USA,IND,190889.55
AUS,IND,40281.57
PHL,SYR,0
IND,SYR,40.92
SYR,SYR,0
POL,SYR,82.2
GBR,SYR,816.33
DEU,SYR,18857.76
MEX,SYR,24.3
CAN,SYR,4915.33
USA,SYR,155.3
AUS,SYR,1588.51
PHL,POL,667.39
IND,POL,1868.52
SYR,POL,89.78
POL,POL,0
GBR,POL,195157.62
DEU,POL,199554.79
MEX,POL,1886.01
CAN,POL,25385.39
USA,POL,56686.91
AUS,POL,15583.81
PHL,GBR,40881.89
IND,GBR,493428.04
SYR,GBR,49.83
POL,GBR,91566.47
GBR,GBR,0
DEU,GBR,37474.32
MEX,GBR,662.32
CAN,GBR,77752.27
USA,GBR,125215.75
AUS,GBR,169240.13
PHL,DEU,2581.5
IND,DEU,123556.32
SYR,DEU,58073.37
POL,DEU,277175.37
GBR,DEU,125117.65
DEU,DEU,0
MEX,DEU,5781.03
CAN,DEU,87524.87
USA,DEU,215419.61
AUS,DEU,91525.02
PHL,MEX,349.97
IND,MEX,1963.93
SYR,MEX,20.54
POL,MEX,142.05
GBR,MEX,1627.94
DEU,MEX,835.93
MEX,MEX,0
CAN,MEX,13931.96
USA,MEX,1373658.95
AUS,MEX,1510.09
PHL,CAN,232482.64
IND,CAN,551964.41
SYR,CAN,7203.62
POL,CAN,15677.56
GBR,CAN,101256.34
DEU,CAN,17872.01
MEX,CAN,19661.25
CAN,CAN,0
USA,CAN,164533.59
AUS,CAN,15702.47
PHL,USA,685057.69
IND,USA,1743134.77
SYR,USA,143.04
POL,USA,50108.6
GBR,USA,389155.59
DEU,USA,155214.59
MEX,USA,2519677.52
CAN,USA,217331.25
USA,USA,0
AUS,USA,33638.56
PHL,AUS,87891.21
IND,AUS,442928.48
SYR,AUS,2377.17
POL,AUS,5547.03
GBR,AUS,161238.51
DEU,AUS,13611.92
MEX,AUS,2724.73
CAN,AUS,13750.14
USA,AUS,19851.44
AUS,AUS,0
