year0,orig,dest,da_pb_closed
2015,SSD,SSD,0
2015,UGA,SSD,95852.93
2015,EGY,SSD,1976.57
2015,SDN,SSD,105412.68
2015,ZAF,SSD,16.56
2015,CIV,SSD,0.63
2015,NGA,SSD,416.22
2015,CHN,SSD,1.91
2015,HKG,SSD,0
2015,JPN,SSD,0.04
2015,IDN,SSD,0.59
2015,MYS,SSD,0.23
2015,MMR,SSD,0
2015,PHL,SSD,0
2015,VNM,SSD,0
2015,BGD,SSD,2.03
2015,IND,SSD,731.49
2015,IRN,SSD,0
2015,PAK,SSD,152.42
2015,JOR,SSD,3.87
2015,QAT,SSD,2406.26
2015,SAU,SSD,131577.02
2015,SYR,SSD,0.28
2015,TUR,SSD,2.04
2015,ARE,SSD,12772.26
2015,ROU,SSD,0
2015,RUS,SSD,0.01
2015,UKR,SSD,0
2015,GBR,SSD,4.26
2015,ITA,SSD,8.05
2015,ESP,SSD,0.1
2015,FRA,SSD,24.29
2015,DEU,SSD,0.01
2015,MEX,SSD,0.03
2015,BRA,SSD,0.45
2015,COL,SSD,0
2015,VEN,SSD,0
2015,CAN,SSD,29.8
2015,USA,SSD,8.53
2015,AUS,SSD,750.67
2015,SSD,UGA,599658.42
2015,UGA,UGA,0
2015,EGY,UGA,58.64
2015,SDN,UGA,15621.41
2015,ZAF,UGA,888.81
2015,CIV,UGA,0
2015,NGA,UGA,0
2015,CHN,UGA,51.7
2015,HKG,UGA,0.04
2015,JPN,UGA,0.14
2015,IDN,UGA,0.54
2015,MYS,UGA,0.55
2015,MMR,UGA,0
2015,PHL,UGA,0.02
2015,VNM,UGA,0
2015,BGD,UGA,0.08
2015,IND,UGA,104.45
2015,IRN,UGA,0
2015,PAK,UGA,0
2015,JOR,UGA,0
2015,QAT,UGA,715.32
2015,SAU,UGA,8291.11
2015,SYR,UGA,0.37
2015,TUR,UGA,1.56
2015,ARE,UGA,3243.48
2015,ROU,UGA,0
2015,RUS,UGA,0
2015,UKR,UGA,0
2015,GBR,UGA,82.77
2015,ITA,UGA,115.04
2015,ESP,UGA,0.17
2015,FRA,UGA,61.48
2015,DEU,UGA,0.06
2015,MEX,UGA,0.54
2015,BRA,UGA,1.56
2015,COL,UGA,0.01
2015,VEN,UGA,0.01
2015,CAN,UGA,1271.11
2015,USA,UGA,144.94
2015,AUS,UGA,477.84
2015,SSD,EGY,13335.96
2015,UGA,EGY,456.89
2015,EGY,EGY,0
2015,SDN,EGY,7185.7
2015,ZAF,EGY,2209.59
2015,CIV,EGY,47.35
2015,NGA,EGY,162.47
2015,CHN,EGY,5864.71
2015,HKG,EGY,57.4
2015,JPN,EGY,389.19
2015,IDN,EGY,1666.02
2015,MYS,EGY,357.66
2015,MMR,EGY,0.02
2015,PHL,EGY,1043.47
2015,VNM,EGY,0.03
2015,BGD,EGY,6071.79
2015,IND,EGY,1472.67
2015,IRN,EGY,906.84
2015,PAK,EGY,662.12
2015,JOR,EGY,64573.92
2015,QAT,EGY,26801.43
2015,SAU,EGY,246083.38
