Origin,Destination,Flow
MEX,USA,2519677.52
VEN,COL,1794440.95
IND,USA,1743134.77
USA,MEX,1373658.95
BGD,IND,1344045.96
PAK,USA,1099449.65
PAK,SAU,1069833.29
UKR,RUS,988729.29
PAK,GBR,965119.33
PAK,IND,905969.48
BGD,SAU,905444.35
CHN,USA,726766.73
PHL,USA,685057.69
PAK,ARE,616252.16
SSD,SDN,611188.7
RUS,UKR,610857.98
SSD,UGA,599658.42
IND,CAN,551964.41
PAK,IRN,511493.17
BGD,ARE,509345.24
BGD,USA,494158.45
IND,GBR,493428.04
PAK,CAN,486729.97
DEU,RUS,482853.87
IND,AUS,442928.48
CHN,HKG,441163.44
TUR,DEU,437597.64
BGD,MYS,418436.46
SAU,USA,411460.62
HKG,CHN,402573.03
SAU,TUR,399850.28
CHN,JPN,395238.67
GBR,USA,389155.59
IND,ARE,382829.87
BRA,USA,375005.68
ARE,IND,352830.72
USA,VNM,345708.92
IDN,MYS,329289.46
SYR,TUR,314864.85
BGD,GBR,314608.33
SAU,JOR,313784.0
ITA,DEU,278240.36
SAU,IND,267568.7
PAK,AUS,261292.83
IND,BGD,250952.07
SAU,EGY,246083.38
USA,CHN,244022.82
USA,RUS,233047.32
PHL,CAN,232482.64
SAU,BGD,231682.67
IND,SAU,223882.26
IND,PAK,223641.09
PAK,QAT,219973.21
PAK,ITA,219178.92
PAK,DEU,218870.11
EGY,JOR,218262.04
CAN,USA,217331.25
JOR,TUR,216670.98
VEN,BRA,216304.57
USA,DEU,215419.61
TUR,SYR,215257.7
COL,VEN,201877.02
USA,PHL,201498.26
MYS,IDN,199276.3
PAK,TUR,197740.14
ROU,DEU,195714.13
BGD,QAT,195234.33
IRN,USA,191249.75
DEU,TUR,191135.39
USA,IND,190889.55
USA,JPN,189912.28
BGD,ITA,185358.15
SAU,CAN,182026.9
MMR,CHN,177329.36
MMR,BGD,176740.66
VEN,ESP,175745.97
JOR,SYR,173108.35
AUS,GBR,169240.13
IRN,DEU,166564.78
CHN,CAN,165903.76
PAK,ESP,164848.98
CHN,AUS,164563.76
USA,CAN,164533.59
SAU,PAK,163520.27
GBR,AUS,161238.51
VEN,USA,160971.65
EGY,SAU,158273.63
NGA,USA,157119.53
DEU,USA,155214.59
ROU,GBR,150374.02
VNM,USA,149287.67
ITA,ROU,146324.83
ITA,GBR,143256.13
SAU,SYR,141275.01
BRA,JPN,139199.12
SAU,SDN,138197.36
IRN,TUR,134712.11
SAU,SSD,131577.02
PHL,JPN,129188.81
ESP,DEU,128764.69
